z	 CT	CA	CG	CC	GA	GT	GC	GG
0	0.01128	0.0188	0.00000	0.96992	0.01826	0.00457	0.00000	0.97717	
1	0.01	0.00000	0.005	0.985	0.02174	0.00435	0.00000	0.97391	
2	0.00000	0.00000	0.00000	1.0	0.0045	0.00000	0.00000	0.9955	
3	0.01132	0.00000	0.00000	0.98868	0.00000	0.00442	0.00000	0.99558	
4	0.00422	0.00000	0.00000	0.99578	0.00407	0.00407	0.00000	0.99187	
5	0.01163	0.00000	0.00000	0.98837	0.00459	0.00917	0.00000	0.98624	
6	0.00391	0.00000	0.00000	0.99609	0.01224	0.00000	0.00000	0.98776	
7	0.00395	0.00000	0.00000	0.99605	0.0081	0.00000	0.00000	0.9919	
8	0.00405	0.00405	0.00000	0.9919	0.00791	0.00395	0.00000	0.98814	
9	0.01322	0.00441	0.00000	0.98238	0.01681	0.0042	0.0042	0.97479	
