z	 CT	CA	CG	CC	GA	GT	GC	GG
0	0.01471	0.02941	0.00000	0.95588	0.00000	0.00000	0.02128	0.97872	
1	0.03448	0.00000	0.00000	0.96552	0.02326	0.00000	0.00000	0.97674	
2	0.00000	0.00000	0.00000	1.0	0.0274	0.00000	0.00000	0.9726	
3	0.01111	0.00000	0.00000	0.98889	0.02597	0.01299	0.00000	0.96104	
4	0.00000	0.00000	0.00000	1.0	0.00000	0.01282	0.00000	0.98718	
5	0.03125	0.00000	0.00000	0.96875	0.01408	0.00000	0.00000	0.98592	
6	0.03333	0.00000	0.00000	0.96667	0.0274	0.00000	0.0137	0.9589	
7	0.025	0.00000	0.00000	0.975	0.00000	0.00000	0.00000	1.0	
8	0.02817	0.00000	0.00000	0.97183	0.01176	0.00000	0.00000	0.98824	
9	0.01235	0.00000	0.01235	0.97531	0.00000	0.00000	0.00000	1.0	
