Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>1k	>10	>5k	>100	>10k+	>500	>50
Momia1_S1_L001_R1_001										0.0	0.5250031223589224	0.0	0.3665846178806047	9.452729875125755	0.0	0.12356126896614632
Momia1_S1_L001_R2_001										0.0	0.1973226793281832	0.0	0.19368472465387077	0.0	0.0	0.0
Momia3_S2_L001_R1_001										0.42313141452899716	0.16134560589852084	0.0	0.04593302918323405	5.937832646733304	0.16882669666685365	0.06692229417424829
Momia3_S2_L001_R2_001										0.0	0.03685969924771152	0.0	0.0	0.0	0.15831151774094782	0.0
Momia5_S3_L001_R1_001										0.5451065942953806	0.11516018386719187	0.0	0.03288414780803654	0.0	0.21330258037645325	0.04266051607529066
Momia5_S3_L001_R2_001										0.0	0.010071176528440055	0.0	0.0	0.0	0.2034970080893623	0.04976346049346851
Momia6_S4_L001_R1_001										0.0	0.33347784039750555	10.670179299918853	0.23565767388090395	0.0	0.0	0.0
Momia6_S4_L001_R2_001										0.0	0.044463712053000745	0.0	0.23009970987427886	0.0	0.0	0.0
