z	 CT	CA	CG	CC	GA	GT	GC	GG
0	0.008	0.00000	0.00000	0.992	0.00000	0.00000	0.00714	0.99286	
1	0.00000	0.00000	0.00000	1.0	0.00763	0.00763	0.00000	0.98473	
2	0.00000	0.00000	0.00000	1.0	0.0082	0.00000	0.0082	0.98361	
3	0.008	0.00000	0.00000	0.992	0.01471	0.01471	0.00000	0.97059	
4	0.00000	0.00000	0.00000	1.0	0.00794	0.00794	0.00794	0.97619	
5	0.01408	0.00000	0.00000	0.98592	0.01493	0.00000	0.00746	0.97761	
6	0.00000	0.00000	0.00000	1.0	0.008	0.008	0.00000	0.984	
7	0.00826	0.00000	0.00000	0.99174	0.00813	0.00000	0.00000	0.99187	
8	0.00741	0.00741	0.00000	0.98519	0.02083	0.00000	0.00000	0.97917	
9	0.00787	0.00000	0.00000	0.99213	0.01449	0.00725	0.00000	0.97826	
