z	 CT	CA	CG	CC	GA	GT	GC	GG
0	0.00000	0.00000	0.0087	0.9913	0.0073	0.00000	0.0073	0.9854	
1	0.02899	0.00000	0.00000	0.97101	0.06579	0.00000	0.01316	0.92105	
2	0.03797	0.00000	0.00000	0.96203	0.0375	0.00000	0.00000	0.9625	
3	0.00000	0.00000	0.00000	1.0	0.00000	0.00000	0.00000	1.0	
4	0.00000	0.00000	0.00000	1.0	0.00000	0.00000	0.0099	0.9901	
5	0.00855	0.00000	0.00000	0.99145	0.00926	0.00000	0.00000	0.99074	
6	0.00000	0.00000	0.00000	1.0	0.01905	0.00000	0.00952	0.97143	
7	0.00000	0.00000	0.00971	0.99029	0.00935	0.00000	0.00000	0.99065	
8	0.00000	0.00735	0.00000	0.99265	0.01653	0.00000	0.00000	0.98347	
9	0.00000	0.00000	0.00000	1.0	0.00943	0.00943	0.00000	0.98113	
