z	 CT	CA	CG	CC	GA	GT	GC	GG
0	0.01786	0.01786	0.00000	0.96429	0.01818	0.00000	0.03636	0.94545	
1	0.00000	0.00000	0.00000	1.0	0.00000	0.00000	0.00000	1.0	
2	0.00000	0.00000	0.00000	1.0	0.00000	0.00000	0.02778	0.97222	
3	0.00000	0.00000	0.00000	1.0	0.00000	0.00000	0.00000	1.0	
4	0.00000	0.00000	0.00000	1.0	0.02703	0.00000	0.00000	0.97297	
5	0.00000	0.00000	0.00000	1.0	0.00000	0.00000	0.02273	0.97727	
6	0.00000	0.00000	0.00000	1.0	0.00000	0.00000	0.00000	1.0	
7	0.00000	0.00000	0.02174	0.97826	0.02273	0.00000	0.00000	0.97727	
8	0.00000	0.00000	0.00000	1.0	0.00000	0.00000	0.02	0.98	
9	0.04878	0.00000	0.00000	0.95122	0.00000	0.00000	0.00000	1.0	
