Sample	79.0	60.0	58.0	49.0	91.0	71.0	19.0	54.0	6.0	81.0	93.0	97.0	67.0	34.0	16.0	28.0	33.0	65.0	36.0	47.0	39.0	12.0	21.0	11.0	48.0	10.0	86.0	75.0	9.0	5.0	44.0	3.0	80.0	41.0	0.0	17.0	46.0	51.0	76.0	13.0	92.0	1.0	15.0	63.0	14.0	100.0	29.0	18.0	53.0	24.0	31.0	37.0	20.0	38.0	30.0	35.0	82.0	26.0	4.0	90.0	27.0	78.0	42.0	57.0	59.0	7.0	85.0	87.0	61.0	2.0	62.0	45.0	77.0	73.0	88.0	40.0	32.0	83.0	66.0	69.0	96.0	99.0	55.0	22.0	64.0	25.0	95.0	50.0	94.0	23.0	70.0	8.0	74.0	43.0	52.0	84.0	72.0	56.0	89.0	68.0	98.0
Momia1_S1_L001_R1_001	402.5	1698.5	1705.5	6508.5	1.0	1718.0	952.0	2735.0	5.0	186.5	0.5	0.0	2055.0	11433.5	298.0	7710.5	10905.5	2016.0	12646.0	8871.0	14442.0	37.5	1777.5	24.0	7612.5	17.5	13.5	1016.5	13.0	2.0	12474.5	7.0	259.5	14546.5	590.0	449.5	10137.0	4619.0	872.0	59.5	0.5	305.5	169.5	1861.5	96.0	1.0	8551.5	643.0	3353.0	3875.5	9975.0	13251.0	1325.5	13769.0	9330.5	11919.5	132.0	5743.5	3.5	3.5	6760.5	529.5	14019.5	1818.0	1637.5	10.0	22.5	7.5	1790.0	15.0	1816.0	11401.0	691.0	1400.5	7.5	14825.0	10358.5	79.0	2035.0	2019.5	0.0	0.5	2321.0	2347.5	1966.5	4767.5	0.0	5498.0	0.0	3032.5	1847.0	11.5	1199.5	13361.0	4010.0	44.5	1587.0	2032.5	7.5	2062.5	0.0
Momia1_S1_L001_R2_001	447.5	2406.0	2721.5	7159.5	34.0	1778.5	1064.5	4159.5	77.5	251.5	26.0	10.5	2150.0	11161.5	431.5	7763.5	10839.5	2235.0	11854.0	8634.0	12480.0	189.0	1925.0	151.5	7849.5	123.0	72.5	1010.0	113.5	67.0	10710.0	49.0	343.5	12290.5	557.0	562.5	9385.5	5891.5	855.5	214.0	30.5	304.0	311.0	2147.0	242.0	8.0	8507.5	767.5	4745.0	3892.0	9773.0	12176.0	1440.5	12374.0	9183.0	11467.0	198.5	5672.0	51.5	38.5	6749.5	548.0	11838.5	3012.5	2526.5	89.0	81.5	56.5	2301.5	51.5	2192.5	10102.0	707.0	1385.0	40.5	12500.5	10344.0	152.0	2186.5	2068.0	17.0	4.5	3756.0	2504.5	2193.5	4742.0	18.5	6507.5	21.5	3172.0	1918.5	102.5	1207.0	11266.0	5376.0	106.0	1587.5	3372.5	39.0	2149.0	4.0
Momia3_S2_L001_R1_001	2914.5	7860.0	6049.5	3752.5	7.0	16027.5	26.5	3978.5	9.0	1207.0	1.0	0.0	16480.0	791.5	20.0	278.5	653.0	14407.0	1320.5	3720.0	2471.5	13.0	66.0	9.5	3751.5	9.5	73.5	9329.0	11.0	11.0	3458.5	4.5	1942.0	3095.0	557.0	21.0	3685.0	3626.0	7505.0	14.5	2.0	280.0	17.5	11676.5	13.0	0.5	329.5	25.0	3798.0	112.0	455.0	1676.5	42.0	2065.5	382.0	1007.0	705.5	189.5	8.5	13.5	234.5	4164.0	3258.5	5311.5	6929.5	8.5	134.5	41.5	8936.0	3.0	10186.5	3572.5	5763.5	13170.0	28.5	2828.5	550.5	376.0	15530.0	17205.5	0.0	0.0	4259.0	81.0	13215.5	148.0	1.0	3675.0	1.5	89.5	17003.5	10.5	11167.5	3383.5	3711.5	214.5	14829.5	4661.0	20.0	16976.5	0.0
Momia3_S2_L001_R2_001	3453.5	7908.5	6454.5	4037.5	322.0	15521.0	53.0	4826.0	11.0	1795.5	233.0	101.5	15993.0	800.0	35.5	293.0	672.0	13815.0	1016.5	3452.5	1450.5	18.5	70.5	21.5	3788.0	19.5	548.5	9671.5	19.0	12.0	2509.0	7.0	2521.5	1755.0	523.0	35.0	3125.5	4344.0	7797.0	26.5	285.5	263.5	26.5	11486.5	32.0	22.5	363.5	39.5	4595.5	129.5	507.5	1105.5	60.5	1273.5	446.0	925.0	1278.5	206.0	12.5	356.5	240.0	4655.5	1918.0	5940.0	7058.5	16.5	640.0	488.0	8921.5	4.5	10148.0	2769.0	6099.0	12829.5	425.0	1583.5	563.0	985.5	15025.5	16339.5	133.5	35.5	4997.0	89.5	12690.5	166.5	189.0	4203.0	205.5	111.0	16092.0	18.0	11337.0	2200.0	4425.5	813.0	14347.5	5358.0	384.5	16373.5	71.0
Momia5_S3_L001_R1_001	3735.5	8882.5	7185.0	2672.5	7.0	15896.0	159.0	4706.5	2.5	1794.0	4.5	0.0	16291.5	1412.5	44.0	1238.0	1488.0	14380.5	1405.0	2101.0	1392.0	7.0	285.0	5.5	2388.0	6.0	123.0	9817.5	4.5	3.5	1607.5	1.5	2672.5	1458.0	722.0	63.5	1915.0	3227.5	8167.5	16.0	4.5	361.5	29.5	12144.0	25.0	0.0	1358.0	92.5	4162.0	651.0	1432.0	1391.0	219.0	1377.0	1442.0	1410.0	1191.0	986.5	3.5	11.5	1148.5	5030.5	1473.0	6415.5	7999.0	3.5	234.0	68.0	9810.0	1.0	10859.5	1726.5	6560.5	13357.0	43.0	1423.5	1505.5	715.0	15424.0	16792.5	0.0	0.0	5144.0	408.0	13336.0	813.5	0.5	2904.5	3.5	529.5	16670.0	3.0	11563.0	1533.5	3659.5	408.5	14763.0	5695.5	24.5	16666.0	0.0
Momia5_S3_L001_R2_001	4035.5	8697.5	7083.0	2716.5	62.0	15705.0	160.0	4589.5	7.0	2145.5	37.5	17.0	16075.5	1391.0	69.0	1182.0	1471.5	14111.0	1346.0	2115.0	1266.5	21.0	309.5	15.5	2414.0	10.5	310.0	10099.5	8.5	4.5	1580.5	4.0	2965.5	1325.5	688.0	98.5	1874.0	3372.0	8345.0	32.5	50.5	345.0	48.0	11857.5	43.0	6.0	1293.0	122.0	4108.0	652.5	1487.0	1334.5	215.0	1303.0	1377.0	1392.5	1437.0	989.0	4.5	84.0	1120.0	5277.0	1362.5	6332.5	7866.0	6.5	432.5	203.0	9784.0	2.5	10794.0	1683.0	6684.5	13251.5	148.5	1300.5	1559.0	942.0	15157.0	16516.0	23.0	6.5	5123.5	421.5	13086.5	801.0	24.5	3049.0	26.5	518.0	16284.5	6.0	11840.5	1458.0	3683.5	634.5	14587.0	5705.5	122.5	16460.5	11.0
Momia6_S4_L001_R1_001	764.5	1942.0	1611.0	1452.0	3.5	3551.0	45.5	1286.0	3.0	384.5	0.5	0.5	3666.5	432.0	18.5	335.0	408.0	3271.0	583.0	1487.5	1087.5	10.5	83.5	11.0	1441.5	8.0	24.5	2121.5	6.0	3.5	1431.0	1.5	561.5	1216.5	215.0	26.0	1482.5	1401.0	1759.0	13.0	2.5	109.0	14.0	2682.0	15.5	0.0	342.5	34.0	1301.0	177.0	401.5	728.0	57.0	908.0	384.5	470.0	250.0	252.0	3.0	3.0	303.5	1017.5	1329.0	1531.0	1728.5	5.0	53.0	17.5	2175.0	2.0	2387.0	1444.0	1362.0	2861.0	9.5	1159.5	381.0	149.0	3461.0	3732.5	1.0	0.0	1332.5	111.0	3064.5	215.0	0.5	1430.0	0.0	135.5	3698.5	6.5	2472.5	1399.0	1378.0	92.5	3234.5	1413.5	3.5	3730.0	0.0
Momia6_S4_L001_R2_001	840.5	2172.0	1853.5	1656.5	23.5	3461.5	53.5	1727.0	7.0	446.0	15.0	8.0	3578.0	429.0	22.0	328.5	412.5	3280.0	455.0	1377.0	536.5	16.0	81.5	10.0	1554.0	8.5	64.0	2167.0	8.5	5.0	964.0	3.5	630.5	691.5	209.0	25.0	1227.0	1698.0	1746.5	22.0	20.5	105.5	25.0	2759.5	26.5	3.0	373.0	32.5	1733.0	171.5	394.0	446.5	66.5	493.5	394.5	456.0	311.0	255.0	3.5	27.0	280.0	1114.5	762.0	1792.0	1963.0	8.5	95.5	46.5	2339.0	2.5	2520.5	1112.5	1405.5	2919.5	41.5	605.0	397.0	225.5	3467.0	3669.0	6.5	4.0	1689.0	112.0	2993.5	219.0	9.0	1682.0	13.0	140.0	3564.5	9.0	2573.5	845.0	1720.5	148.5	3211.5	1708.5	33.5	3717.0	5.5
