Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Momia1_S1_L001_R1_001	9.458822012768414	0.14004822581165044
Momia1_S1_L001_R2_001	0.13037962444808399	0.0
Momia3_S2_L001_R1_001	5.932463522339433	0.5914228491020763
Momia3_S2_L001_R2_001	0.15834085528375227	0.0
Momia5_S3_L001_R1_001	0.5449413743776857	0.21323792910431183
Momia5_S3_L001_R2_001	0.20346452402036425	0.0
Momia6_S4_L001_R1_001	10.670179299918853	0.23565767388090464
Momia6_S4_L001_R2_001	0.23009970987427886	0.0
