Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>5k	>10k+	>100	>10	>50	>1k	>500
SRR1313909_1										21.27182704419731	12.619278634039796	7.6304439719344375	6.915118861669205	2.395304367662999	24.42586782624005	5.1605482610157685
SRR1313909_2										20.378576414889537	11.775909720746126	7.36985846448694	6.752376644210589	2.3564689497700892	23.82975998547032	4.984982043857579
SRR1314212_1										0.23925428129891088	0.5317409926754009	15.694493757517083	14.553531361548636	6.185060119934914	4.895997377898858	6.207149808019854
SRR1314212_2										0.2733610056554091	0.2898207434435145	15.226978410363984	13.891621444673522	5.935506690494344	4.5534410026930265	5.895150623729254
SRR1314213_1										3.5399707422335704	1.1568616717321492	10.233230630169924	42.08836206004691	2.7539585993295974	15.846475601272491	5.232460973192203
SRR1314213_2										2.946944106008294	1.1069558880651242	8.664024847537608	34.87021404973167	2.3270196039378357	13.588134571544627	4.464193735354464
SRR1314214_1										2.1663976442102437	0.05671004767310528	20.20912870424273	14.880368610324332	7.225032119038449	16.625705164908616	9.758470791706909
SRR1314214_2										1.8882298777741828	0.0	18.75549235659004	14.158740340278895	6.75718460036197	15.526095421467002	9.11531414599314
SRR1314599_1										1.370069841277319	1.0154158362579488	5.181899806134846	59.178610135233676	2.7860138670521546	4.9238034119413365	2.467127148656587
SRR1314599_2										1.062107247355072	0.28992271474475684	4.6813945698221175	53.3123942702493	2.540767293426458	4.708382326378438	2.2236384888418796
SRR1314600_1										1.9002730037323015	1.101643520316491	9.941289855171078	57.74281194373497	6.717781376025774	6.9917267347838	3.4748352894298873
SRR1314600_2										1.7370044876292072	0.7376482719373298	9.455734708936262	54.97641760853321	6.414214074378941	6.7502103002021645	3.342807356654916
SRR1314601_1										0.42562891486845084	2.915536177329349	6.314882904522659	31.272681858273355	4.348715868340642	2.2013124254989593	1.88738426032446
SRR1314601_2										0.3583089164282487	2.3475898913684965	5.6755054685001	28.687046238628845	4.00792912879442	1.9236289834961209	1.8970967651264075
