Sample	52	112	8	3	86	11	12	174	51	85	131	39	162	35	97	179	138	149	130	141	121	24	62	68	27	91	75	117	10	127	152	164	60	41	69	44	43	67	108	29	23	40	113	161	54	64	114	26	90	181	22	53	55	36	148	172	49	87	151	96	126	128	83	14	136	77	105	42	107	46	80	76	59	155	89	124	147	73	7	34	25	58	4	106	98	153	19	17	66	33	166	6	135	146	158	9	177	99	111	38	142	165	190	95	143	102	103	30	184	145	170	72	168	78	70	28	140	20	187	21	94	122	132	0	125	31	191	84	109	120	32	144	173	115	47	167	61	100	169	116	154	171	2	175	159	101	118	48	104	133	186	123	16	79	189	176	82	180	156	13	1	119	50	157	183	185	93	45	56	71	88	134	163	188	81	160	18	137	182	5	74	110	57	178	37	63	129	139	150	65	15	92
SRR1313909_1	11101	126960	0	0	72093	0	0	91032	10262	82550	102885	3124	143886	1891	98885	61179	143803	96433	135587	139370	121255	0	24916	42863	0	78052	38900	143954	0	111774	156951	106241	24371	3659	37822	5519	4229	30577	122649	0	0	3050	105820	106809	12802	28801	99917	0	79006	107132	0	14513	15972	2148	109676	122485	8556	83004	165465	102348	86850	99106	71707	0	125892	48008	105808	3902	116290	5645	58345	37771	19233	128872	89345	96349	148368	51347	0	1756	0	20879	0	108013	107197	121545	0	0	35238	1588	133536	0	165239	102751	133292	0	105824	84192	119501	3159	152587	108606	101446	80787	110018	107638	91871	1248	100359	121881	137095	50506	78316	51644	44810	0	103156	0	124554	0	85511	115470	136103	0	107312	1268	68572	76159	118164	88618	1347	191882	130374	132736	6067	75136	26819	101774	128377	100484	120978	80645	0	55949	109106	107578	104487	8033	110440	129134	72583	115102	0	52223	95934	89759	53988	106932	110739	0	0	125303	9392	112630	84637	66408	92578	5337	24672	43520	69177	106324	92597	96378	57233	105182	0	124451	70566	0	48815	100009	16944	69678	2586	31224	104375	109963	113121	32596	0	95974
SRR1314212_1	65719	160243	0	0	155672	0	0	82547	57226	151684	148874	17605	110999	8820	170647	70138	145696	132755	154127	134696	165373	0	88745	108697	0	168501	125632	167007	0	160375	126705	89137	94596	22240	110248	32734	29967	115650	175492	0	0	19948	164980	101890	65601	89653	161324	0	161761	73715	0	68080	71784	11306	121232	85778	51827	157905	132828	167992	152881	146147	147139	0	144115	130004	190819	29796	161988	36834	137008	125159	85237	111272	159080	164732	130002	133969	0	7165	0	90996	0	175075	163457	120925	0	0	123774	6021	92515	0	142616	122906	99377	0	72970	172900	172525	15854	139165	89290	74646	164444	115798	189174	192530	4138	76253	121525	85740	120909	99846	144364	109025	0	150350	0	69511	0	168038	155602	152360	0	158999	4538	61346	158688	179969	156164	5226	127670	75932	164140	39946	92069	95757	180349	91206	159504	118602	90883	0	74610	109053	183590	163266	49403	186580	147375	69335	166472	0	136804	63056	81931	142476	79682	118907	0	0	168494	52375	106207	66938	64091	163716	34494	79974	105940	167347	139518	98513	69708	138129	104817	0	131123	70079	0	128205	177801	83447	82400	13804	92779	147619	139970	131306	105962	0	168031
SRR1314213_1	2195	38206	0	0	18306	0	0	64908	1781	14272	60354	1131	77164	471	24985	66342	57427	70856	50688	57292	49286	0	4118	6058	0	17865	7645	48181	0	46769	71084	75466	3655	855	6601	941	1469	5138	37299	0	0	777	41797	72448	2267	4706	42562	0	17091	66590	0	2203	2189	324	57816	52881	1659	15272	68244	24377	51995	52268	13007	0	54907	8547	32180	1116	37791	1070	10220	8167	3714	79128	20162	58234	67378	7654	0	266	0	3836	0	34164	25419	84304	0	0	5826	282	66079	0	68293	75511	62931	0	60649	24893	37177	586	59564	67708	100418	39809	66810	43401	40522	264	96939	64608	68013	7171	59025	8985	5268	0	60290	0	79838	0	22392	43958	61592	0	46083	412	72512	15690	43539	38538	312	72200	60463	52994	1236	67902	4181	30586	63303	45438	78162	82802	0	69218	61861	31867	42000	1319	31751	54612	88675	67991	0	18663	74392	60854	11670	78407	64927	0	0	56987	1826	64740	68531	53546	20319	1074	2756	6206	16815	58427	65033	71666	12223	68585	0	65373	106265	0	7846	43343	4645	82038	535	4371	51037	55005	54891	5021	0	21654
SRR1314214_1	32328	132045	0	0	97088	0	0	64548	26781	93472	121326	5894	86701	2833	112079	70212	97106	103302	113181	112711	133287	0	46581	61683	0	101689	71902	120050	0	137122	87636	101846	49630	8404	59699	12248	10469	61830	120878	0	0	7217	123577	96463	32608	45489	122699	0	96724	68709	0	34112	34631	3523	101160	76643	20406	96697	99211	103734	124894	115911	86083	0	113691	75110	119181	10205	118598	15198	77276	76807	48274	93141	97669	116913	103859	62325	0	2576	0	42072	0	138676	104594	111150	0	0	65801	2074	72616	0	126194	95632	98285	0	61073	113766	124428	5328	118633	79256	97321	106058	109708	127186	115919	1468	80472	118362	83439	69274	84876	76884	68196	0	109179	0	77763	0	104963	117490	103118	0	114813	1697	73699	87943	133545	123141	1992	104320	78779	120437	16932	70658	50732	115952	75236	114755	92680	82943	0	91722	103294	129663	111224	19870	137735	117801	70545	107289	0	76990	71313	90618	81157	61695	103116	0	0	107212	22484	84212	63419	72176	99612	13392	36218	70466	95892	103379	72923	71995	77000	81926	0	111379	75896	0	65100	125133	38267	69526	4233	47557	100325	121441	110349	54903	0	108213
SRR1314599_1	107602	84313	0	0	148277	0	0	18536	106162	147999	59594	37057	24116	23791	122898	18270	73001	36862	56813	51197	73334	0	161182	151843	0	134143	152459	80302	0	63379	32268	23956	154865	46772	165951	62704	55913	150057	97141	0	0	42157	78495	31639	116423	154245	89983	0	134507	15457	0	103624	136269	29628	41189	28811	90033	137694	38653	124726	61331	54018	131388	0	46788	151007	101503	52089	88484	73469	135594	138908	139110	31220	145714	61209	42099	148297	0	19674	0	134687	0	95529	104496	34374	0	0	166845	17012	22767	0	49290	41303	31146	0	16734	112155	89739	35849	37707	27482	14992	118639	49550	105845	116148	12214	17323	38879	20776	174644	28003	162412	154142	0	51652	0	18782	0	129710	76365	53300	0	66713	14268	13824	143419	96113	81834	15889	39081	26513	77747	76954	22248	147963	138016	23131	82497	30885	19887	0	25286	26797	112201	72059	88663	102539	50816	15714	77569	0	151885	25808	17409	147509	16332	36324	0	0	73405	93521	33917	14848	12379	123771	68207	135962	141175	139236	61238	23166	14863	148068	25122	0	51901	15803	0	163548	89673	139766	16940	33458	152215	60532	48051	40884	139343	0	130975
SRR1314600_1	68022	158295	0	0	169378	0	0	48076	65222	175260	114771	16059	64211	7539	173643	39251	96456	92560	127226	94638	132653	0	119816	121074	0	195532	137532	140825	0	123082	70964	61241	110754	22481	134066	30575	26474	139595	182017	0	0	18304	137550	69788	74775	119957	147082	0	174742	41808	0	71603	77768	10619	78207	49998	48867	179512	74809	163550	123636	121089	156533	0	112533	150603	174286	31125	141174	37817	151919	147328	104828	70665	175070	131356	82029	144144	0	6132	0	89374	0	161747	160178	78507	0	0	146499	5469	70710	0	100589	83945	66368	0	44507	170681	151742	14065	87040	55631	37999	172115	91099	185397	189673	3619	38241	99789	54014	144737	49729	164359	134485	0	97787	0	33359	0	186622	131897	108540	0	126788	3830	45653	198546	149874	137061	4045	102724	51322	176186	43930	54907	116274	175439	50005	142840	66824	57205	0	46897	59563	170406	135484	51432	173025	108893	34512	133494	0	148419	33494	44713	183700	46154	78782	0	0	126543	52899	66053	37945	35364	192923	30682	94327	135274	178184	118449	64039	32242	159453	60815	0	104903	37355	0	137536	167560	90113	40049	11058	111847	114260	102820	81895	116988	0	164693
SRR1314601_1	37812	108396	0	0	107501	0	0	57337	34684	104326	95982	10513	76337	5775	112158	57481	95661	83813	97427	93455	107555	0	71285	76456	0	112328	85606	102257	0	98750	79186	65368	71390	12480	81019	18634	18956	81141	112560	0	0	11723	108928	72638	46033	73808	106091	0	110534	61571	0	46338	50917	7138	85805	66944	34389	109326	80582	113763	100636	97827	93453	0	93425	87687	135135	16502	110421	23655	100139	89458	53215	79072	106572	100879	85565	87478	0	4930	0	58809	0	118666	119811	81533	0	0	85184	4087	67510	0	98579	85376	74595	0	58427	151553	105624	9467	89763	72014	69468	110208	88753	203703	191832	3326	59609	90659	61725	90386	64591	94733	80123	0	92490	0	59741	0	114318	103629	113280	0	98065	3310	53720	102892	112131	100506	3935	91826	63917	104301	24645	66420	66207	172852	65072	104260	78582	65303	0	63100	79111	166591	103114	33753	175333	93650	55865	105214	0	97590	60003	56716	96671	55462	81828	0	0	103122	36336	76053	54795	53329	111797	21759	53843	86341	108802	91106	68121	52390	96998	76604	0	89442	55152	0	82515	106209	54248	60284	7917	67971	101278	91291	82046	71049	0	110269
