Sample	>5k	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>1k	>10k+	>50	>10	>500	>100
SRR1313909_1	21.27182704419731										24.42586782624005	12.619278634039796	2.395304367662999	6.915118861669205	5.1605482610157685	7.6304439719344375
SRR1313909_2	20.378576414889537										23.82975998547032	11.775909720746126	2.3564689497700892	6.752376644210589	4.984982043857579	7.36985846448694
SRR1314212_1	0.23925428129891088										4.895997377898858	0.5317409926754009	6.185060119934914	14.553531361548636	6.207149808019854	15.694493757517083
SRR1314212_2	0.2733610056554091										4.5534410026930265	0.2898207434435145	5.935506690494344	13.891621444673522	5.895150623729254	15.226978410363984
SRR1314213_1	3.5399707422335704										15.846475601272491	1.1568616717321492	2.7539585993295974	42.08836206004691	5.232460973192203	10.233230630169924
SRR1314213_2	2.946944106008294										13.588134571544627	1.1069558880651242	2.3270196039378357	34.87021404973167	4.464193735354464	8.664024847537608
SRR1314214_1	2.1663976442102437										16.625705164908616	0.05671004767310528	7.225032119038449	14.880368610324332	9.758470791706909	20.20912870424273
SRR1314214_2	1.8882298777741828										15.526095421467002	0.0	6.75718460036197	14.158740340278895	9.11531414599314	18.75549235659004
SRR1314599_1	1.370069841277319										4.9238034119413365	1.0154158362579488	2.7860138670521546	59.178610135233676	2.467127148656587	5.181899806134846
SRR1314599_2	1.062107247355072										4.708382326378438	0.28992271474475684	2.540767293426458	53.3123942702493	2.2236384888418796	4.6813945698221175
SRR1314600_1	1.9002730037323015										6.9917267347838	1.101643520316491	6.717781376025774	57.74281194373497	3.4748352894298873	9.941289855171078
SRR1314600_2	1.7370044876292072										6.7502103002021645	0.7376482719373298	6.414214074378941	54.97641760853321	3.342807356654916	9.455734708936262
SRR1314601_1	0.42562891486845084										2.2013124254989593	2.915536177329349	4.348715868340642	31.272681858273355	1.88738426032446	6.314882904522659
SRR1314601_2	0.3583089164282487										1.9236289834961209	2.3475898913684965	4.00792912879442	28.687046238628845	1.8970967651264075	5.6755054685001
