Sample	87	147	47	122	107	42	82	137	142	132	117	67	52	92	112	72	102	62	151	97	77	127	37	57
Momia1_S1_L001_R1_001	342.0	24309.0	85.0	1421.0	905.0	67.0	288.0	1902.0	2036.0	1783.0	1293.0	127.0	75.0	443.0	1110.0	173.0	706.0	121.0	301029.0	601.0	247.0	1608.0	536.0	104.0
Momia1_S1_L001_R2_001	326.0	24165.0	80.0	1291.0	810.0	60.0	268.0	1798.0	1945.0	1653.0	1185.0	114.0	68.0	398.0	1013.0	161.0	652.0	106.0	302322.0	553.0	229.0	1515.0	498.0	101.0
Momia3_S2_L001_R1_001	2435.0	23654.0	249.0	8865.0	6186.0	171.0	1922.0	10039.0	9567.0	9690.0	8310.0	834.0	351.0	3297.0	7324.0	1191.0	5184.0	661.0	212920.0	4105.0	1539.0	9394.0	650.0	499.0
Momia3_S2_L001_R2_001	2249.0	24453.0	236.0	8134.0	5653.0	160.0	1821.0	9166.0	9014.0	8765.0	7571.0	780.0	337.0	3047.0	6735.0	1128.0	4716.0	617.0	219512.0	3809.0	1424.0	8626.0	606.0	478.0
Momia5_S3_L001_R1_001	1060.0	25843.0	177.0	4987.0	2938.0	122.0	884.0	6530.0	6696.0	6093.0	4218.0	407.0	208.0	1513.0	3624.0	558.0	2236.0	337.0	260107.0	1856.0	695.0	5474.0	819.0	269.0
Momia5_S3_L001_R2_001	1032.0	25182.0	168.0	4714.0	2816.0	119.0	852.0	6239.0	6378.0	5760.0	4019.0	398.0	197.0	1438.0	3451.0	537.0	2134.0	328.0	263179.0	1791.0	671.0	5206.0	784.0	258.0
Momia6_S4_L001_R1_001	500.0	6863.0	80.0	1930.0	1242.0	65.0	397.0	2537.0	2594.0	2316.0	1759.0	193.0	99.0	641.0	1510.0	257.0	958.0	159.0	62201.0	823.0	311.0	2157.0	246.0	123.0
Momia6_S4_L001_R2_001	474.0	7083.0	79.0	1835.0	1192.0	64.0	382.0	2400.0	2472.0	2172.0	1659.0	181.0	98.0	629.0	1432.0	249.0	910.0	154.0	62977.0	784.0	300.0	2071.0	242.0	122.0
